accession,role,file,bytes,sha256,source_url,retrieved
GCF_005843885.1,assembly_data_report,assembly_data_report.jsonl,3831,2d9fe73968328521479c430d97daf0ac70ea91fde3fd12204425f583d7776499,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_005843885.1/,2026-09-13
GCF_005843885.1,dataset_catalog,dataset_catalog.json,1148,53295ef3e38c5ce5b088a36cd06b2bcd43ca51244efd11a54eb5b7dcffe5c324,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_005843885.1/,2026-09-13
GCF_000026225.1,ncbi_package_zip,ncbi_dataset.zip,7716636,cf56b87c69fc0094de68ced206b789f73eeb2a0081b7f092e5c6c7f6ff84afc4,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000026225.1/,2026-09-13
GCF_000026225.1,reference_fasta,reference.fna,4702056,27b1ae81ccc96c77256d5b9afbf33121a6365a1393bf1df37014c3d24b09d6f3,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000026225.1/,2026-09-13
GCF_000026225.1,genbank_annotation,annotation.gbff,12087578,620595da129a4aaf6b713c897e285c872dcd955f20205d0e32816c1ced2c7fd3,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000026225.1/,2026-09-13
GCF_000026225.1,gff3_annotation,annotation.gff3,2743014,597e41a87f32fdc3e84defa06f827bc95814c15348808c586004e18bd6f4916a,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000026225.1/,2026-09-13
GCF_000026225.1,cds_fasta,cds.fna,5020114,fce63f653523b86bf9a67d2a3384cfe75bfd43470c77489906036dcbc78283ac,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000026225.1/,2026-09-13
GCF_000026225.1,protein_fasta,protein.faa,1712060,671d2dcfb1b51c9f1f70b54bf28dbc363f917fd955376597fee55b76001ace56,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000026225.1/,2026-09-13
GCF_000026225.1,sequence_report,sequence_report.jsonl,627,d3fd9028d7d7b06293b8d8c8f8e300a97a455067e3bc75390649269ad111e377,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000026225.1/,2026-09-13
GCF_000026225.1,assembly_data_report,assembly_data_report.jsonl,3943,51b8d5b306f32780efbf824588d389b661b90a800b7c5d7ac2b8fc4c5b777528,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000026225.1/,2026-09-13
GCF_000026225.1,dataset_catalog,dataset_catalog.json,1146,ae1dc529f50ab00aeaf042a57db99d15b71a6160699f2b8a858fb68a97f6b7a2,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000026225.1/,2026-09-13
GCF_002900365.1,ncbi_package_zip,ncbi_dataset.zip,7935587,4046a8daed50e389f507fe288bdb9e4767bc8e12594149f213e341b8252a80bc,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_002900365.1/,2026-09-13
GCF_002900365.1,reference_fasta,reference.fna,4957747,062250f26f8fedf2be000ff7a31c00f89f3c4c34046eeec95a96e6a085ea76e8,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_002900365.1/,2026-09-13
GCF_002900365.1,genbank_annotation,annotation.gbff,12698848,cf5301bd0cfb3014ca7445b63a432575e00c99bd528252cd0fdd3a93175987b3,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_002900365.1/,2026-09-13
GCF_002900365.1,gff3_annotation,annotation.gff3,2988139,f56be091d92624f317730f7c0c85770b451f172da44a70474b0cf20ecf90162c,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_002900365.1/,2026-09-13
GCF_002900365.1,cds_fasta,cds.fna,5284015,6b20c0f1861fea0a874ef2906c02612f7498b6f564ace4904191135b63d3fd7a,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_002900365.1/,2026-09-13
GCF_002900365.1,protein_fasta,protein.faa,1649886,afd9a34afe2d1ff22a82028ecdffa2d5fb09bb8a254faef17d49d09efc6ac387,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_002900365.1/,2026-09-13
GCF_002900365.1,sequence_report,sequence_report.jsonl,948,58125cd60e28e316fda1b9fc686266b297b061f3097a2de7d1dd283e0639ccef,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_002900365.1/,2026-09-13
GCF_002900365.1,assembly_data_report,assembly_data_report.jsonl,3779,95b9101769d36984b8a3b194cd30efddac395f525f4eb1425d3a9e8af8530d31,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_002900365.1/,2026-09-13
GCF_002900365.1,dataset_catalog,dataset_catalog.json,1148,44df44bf61dc1a3b165def2c251ea3baee346aa78747ef7c27bae35b89b54b5e,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_002900365.1/,2026-09-13
