orthogroup,assignment_status,protein_count,species_count
OG0000394,orthogroup,6,6
OG0000395,orthogroup,6,6
OG0000396,orthogroup,6,6
OG0000397,orthogroup,6,6
OG0000398,orthogroup,6,6
OG0000399,orthogroup,6,6
OG0000400,orthogroup,6,6
OG0000401,orthogroup,6,6
OG0000402,orthogroup,6,6
OG0000403,orthogroup,6,6
OG0000404,orthogroup,6,5
OG0000405,orthogroup,6,6
OG0000406,orthogroup,6,6
OG0000407,orthogroup,6,6
OG0000408,orthogroup,6,6
OG0000409,orthogroup,6,6
OG0000410,orthogroup,6,6
OG0000411,orthogroup,6,6
OG0000412,orthogroup,6,6
OG0000413,orthogroup,6,6
OG0000414,orthogroup,6,6
OG0000415,orthogroup,6,6
OG0000416,orthogroup,6,6
OG0000417,orthogroup,6,6
OG0000418,orthogroup,6,6
OG0000419,orthogroup,6,4
OG0000420,orthogroup,6,6
OG0000421,orthogroup,6,6
OG0000422,orthogroup,6,6
OG0000423,orthogroup,6,6
OG0000424,orthogroup,6,6
OG0000425,orthogroup,6,6
OG0000426,orthogroup,6,6
OG0000427,orthogroup,6,6
OG0000428,orthogroup,6,6
OG0000429,orthogroup,6,6
OG0000430,orthogroup,6,6
OG0000431,orthogroup,6,6
OG0000432,orthogroup,6,6
OG0000433,orthogroup,6,6
OG0000434,orthogroup,6,6
OG0000435,orthogroup,6,6
OG0000436,orthogroup,6,6
OG0000437,orthogroup,6,6
OG0000438,orthogroup,6,6
OG0000439,orthogroup,6,6
OG0000440,orthogroup,6,6
OG0000441,orthogroup,6,6
OG0000442,orthogroup,6,6
OG0000443,orthogroup,6,6
OG0000444,orthogroup,6,6
OG0000445,orthogroup,6,6
OG0000446,orthogroup,6,6
OG0000447,orthogroup,6,6
OG0000448,orthogroup,6,6
OG0000449,orthogroup,6,6
OG0000450,orthogroup,6,6
OG0000451,orthogroup,6,6
OG0000452,orthogroup,6,6
OG0000453,orthogroup,6,6
OG0000454,orthogroup,6,6
OG0000455,orthogroup,6,6
OG0000456,orthogroup,6,6
OG0000457,orthogroup,6,6
OG0000458,orthogroup,6,6
OG0000459,orthogroup,6,6
OG0000460,orthogroup,6,6
OG0000461,orthogroup,6,6
OG0000462,orthogroup,6,6
OG0000463,orthogroup,6,6
OG0000464,orthogroup,6,6
OG0000465,orthogroup,6,6
OG0000466,orthogroup,6,6
OG0000467,orthogroup,6,6
OG0000468,orthogroup,6,6
OG0000469,orthogroup,6,6
OG0000470,orthogroup,6,6
OG0000471,orthogroup,6,5
OG0000472,orthogroup,6,6
OG0000473,orthogroup,6,6
OG0000474,orthogroup,6,6
OG0000475,orthogroup,6,6
OG0000476,orthogroup,6,6
OG0000477,orthogroup,6,6
OG0000478,orthogroup,6,6
OG0000479,orthogroup,6,6
OG0000480,orthogroup,6,6
OG0000481,orthogroup,6,6
OG0000482,orthogroup,6,6
OG0000483,orthogroup,6,6
OG0000484,orthogroup,6,6
OG0000485,orthogroup,6,6
OG0000486,orthogroup,6,6
OG0000487,orthogroup,6,6
OG0000488,orthogroup,6,6
OG0000489,orthogroup,6,6
OG0000490,orthogroup,6,6
OG0000491,orthogroup,6,6
OG0000492,orthogroup,6,6
OG0000493,orthogroup,6,6
OG0000494,orthogroup,6,6
OG0000495,orthogroup,6,6
OG0000496,orthogroup,6,6
OG0000497,orthogroup,6,6
OG0000498,orthogroup,6,6
OG0000499,orthogroup,6,6
OG0000500,orthogroup,6,6
OG0000501,orthogroup,6,6
OG0000502,orthogroup,6,6
OG0000503,orthogroup,6,6
OG0000504,orthogroup,6,6
OG0000505,orthogroup,6,6
OG0000506,orthogroup,6,6
OG0000507,orthogroup,6,6
OG0000508,orthogroup,6,5
OG0000509,orthogroup,6,6
OG0000510,orthogroup,6,6
OG0000511,orthogroup,6,4
OG0000512,orthogroup,6,6
OG0000513,orthogroup,6,5
OG0000514,orthogroup,6,6
OG0000515,orthogroup,6,6
OG0000516,orthogroup,6,6
OG0000517,orthogroup,6,6
OG0000518,orthogroup,6,6
OG0000519,orthogroup,6,6
OG0000520,orthogroup,6,6
OG0000521,orthogroup,6,6
OG0000522,orthogroup,6,6
OG0000523,orthogroup,6,6
OG0000524,orthogroup,6,6
OG0000525,orthogroup,6,6
OG0000526,orthogroup,6,4
OG0000527,orthogroup,6,6
OG0000528,orthogroup,6,4
OG0000529,orthogroup,6,6
OG0000530,orthogroup,6,6
OG0000531,orthogroup,6,6
OG0000532,orthogroup,6,6
OG0000533,orthogroup,6,6
OG0000534,orthogroup,6,6
OG0000535,orthogroup,6,6
OG0000536,orthogroup,6,6
OG0000537,orthogroup,6,6
OG0000538,orthogroup,6,6
OG0000539,orthogroup,6,6
OG0000540,orthogroup,6,6
OG0000541,orthogroup,6,6
OG0000542,orthogroup,6,6
OG0000543,orthogroup,6,6
OG0000544,orthogroup,6,6
OG0000545,orthogroup,6,6
OG0000546,orthogroup,6,6
OG0000547,orthogroup,6,6
OG0000548,orthogroup,6,6
OG0000549,orthogroup,6,6
OG0000550,orthogroup,6,6
OG0000551,orthogroup,6,6
OG0000552,orthogroup,6,6
OG0000553,orthogroup,6,6
OG0000554,orthogroup,6,6
OG0000555,orthogroup,6,6
OG0000556,orthogroup,6,6
OG0000557,orthogroup,6,6
OG0000558,orthogroup,6,6
OG0000559,orthogroup,6,6
OG0000560,orthogroup,6,6
OG0000561,orthogroup,6,6
OG0000562,orthogroup,6,6
OG0000563,orthogroup,6,6
OG0000564,orthogroup,6,6
OG0000565,orthogroup,6,6
OG0000566,orthogroup,6,6
OG0000567,orthogroup,6,6
OG0000568,orthogroup,6,6
OG0000569,orthogroup,6,6
OG0000570,orthogroup,6,6
OG0000571,orthogroup,6,6
OG0000572,orthogroup,6,6
OG0000573,orthogroup,6,6
OG0000574,orthogroup,6,6
OG0000575,orthogroup,6,6
OG0000576,orthogroup,6,6
OG0000577,orthogroup,6,6
OG0000578,orthogroup,6,6
OG0000579,orthogroup,6,6
OG0000580,orthogroup,6,6
OG0000581,orthogroup,6,6
OG0000582,orthogroup,6,6
OG0000583,orthogroup,6,6
OG0000584,orthogroup,6,6
OG0000585,orthogroup,6,6
OG0000586,orthogroup,6,6
OG0000587,orthogroup,6,6
OG0000588,orthogroup,6,6
OG0000589,orthogroup,6,6
OG0000590,orthogroup,6,6
OG0000591,orthogroup,6,6
OG0000592,orthogroup,6,6
OG0000593,orthogroup,6,6
OG0000594,orthogroup,6,6
OG0000595,orthogroup,6,6
OG0000596,orthogroup,6,6
OG0000597,orthogroup,6,6
OG0000598,orthogroup,6,6
OG0000599,orthogroup,6,6
OG0000600,orthogroup,6,6
OG0000601,orthogroup,6,6
OG0000602,orthogroup,6,6
OG0000603,orthogroup,6,6
OG0000604,orthogroup,6,6
OG0000605,orthogroup,6,6
OG0000606,orthogroup,6,6
OG0000607,orthogroup,6,6
OG0000608,orthogroup,6,6
OG0000609,orthogroup,6,6
OG0000610,orthogroup,6,6
OG0000611,orthogroup,6,6
OG0000612,orthogroup,6,6
OG0000613,orthogroup,6,6
OG0000614,orthogroup,6,6
OG0000615,orthogroup,6,6
OG0000616,orthogroup,6,6
OG0000617,orthogroup,6,6
OG0000618,orthogroup,6,6
OG0000619,orthogroup,6,6
OG0000620,orthogroup,6,6
OG0000621,orthogroup,6,6
OG0000622,orthogroup,6,6
OG0000623,orthogroup,6,6
OG0000624,orthogroup,6,6
OG0000625,orthogroup,6,6
OG0000626,orthogroup,6,6
OG0000627,orthogroup,6,6
OG0000628,orthogroup,6,6
OG0000629,orthogroup,6,6
OG0000630,orthogroup,6,6
OG0000631,orthogroup,6,6
OG0000632,orthogroup,6,6
OG0000633,orthogroup,6,6
OG0000634,orthogroup,6,6
OG0000635,orthogroup,6,6
OG0000636,orthogroup,6,6
OG0000637,orthogroup,6,6
OG0000638,orthogroup,6,6
OG0000639,orthogroup,6,6
OG0000640,orthogroup,6,6
OG0000641,orthogroup,6,6
OG0000642,orthogroup,6,6
OG0000643,orthogroup,6,6
OG0000644,orthogroup,6,6
OG0000645,orthogroup,6,6
OG0000646,orthogroup,6,6
OG0000647,orthogroup,6,6
OG0000648,orthogroup,6,6
OG0000649,orthogroup,6,6
OG0000650,orthogroup,6,6
OG0000651,orthogroup,6,6
OG0000652,orthogroup,6,6
OG0000653,orthogroup,6,6
OG0000654,orthogroup,6,6
OG0000655,orthogroup,6,6
OG0000656,orthogroup,6,6
OG0000657,orthogroup,6,6
OG0000658,orthogroup,6,6
OG0000659,orthogroup,6,6
OG0000660,orthogroup,6,6
OG0000661,orthogroup,6,6
OG0000662,orthogroup,6,6
OG0000663,orthogroup,6,6
OG0000664,orthogroup,6,6
OG0000665,orthogroup,6,6
OG0000666,orthogroup,6,6
OG0000667,orthogroup,6,6
OG0000668,orthogroup,6,6
OG0000669,orthogroup,6,6
OG0000670,orthogroup,6,6
OG0000671,orthogroup,6,6
OG0000672,orthogroup,6,6
OG0000673,orthogroup,6,6
OG0000674,orthogroup,6,6
OG0000675,orthogroup,6,6
OG0000676,orthogroup,6,6
OG0000677,orthogroup,6,6
OG0000678,orthogroup,6,6
OG0000679,orthogroup,6,6
OG0000680,orthogroup,6,6
OG0000681,orthogroup,6,6
OG0000682,orthogroup,6,6
OG0000683,orthogroup,6,6
OG0000684,orthogroup,6,6
OG0000685,orthogroup,6,6
OG0000686,orthogroup,6,6
OG0000687,orthogroup,6,6
OG0000688,orthogroup,6,6
OG0000689,orthogroup,6,6
OG0000690,orthogroup,6,6
OG0000691,orthogroup,6,6
OG0000692,orthogroup,6,6
OG0000693,orthogroup,6,6
OG0000694,orthogroup,6,6
OG0000695,orthogroup,6,6
OG0000696,orthogroup,6,6
OG0000697,orthogroup,6,6
OG0000698,orthogroup,6,6
OG0000699,orthogroup,6,6
OG0000700,orthogroup,6,6
OG0000701,orthogroup,6,6
OG0000702,orthogroup,6,6
OG0000703,orthogroup,6,6
OG0000704,orthogroup,6,6
OG0000705,orthogroup,6,6
OG0000706,orthogroup,6,6
OG0000707,orthogroup,6,6
OG0000708,orthogroup,6,6
OG0000709,orthogroup,6,6
OG0000710,orthogroup,6,5
OG0000711,orthogroup,6,6
OG0000712,orthogroup,6,6
OG0000713,orthogroup,6,6
OG0000714,orthogroup,6,6
OG0000715,orthogroup,6,6
OG0000716,orthogroup,6,6
OG0000717,orthogroup,6,6
OG0000718,orthogroup,6,4
OG0000719,orthogroup,6,6
OG0000720,orthogroup,6,6
OG0000721,orthogroup,6,6
OG0000722,orthogroup,6,6
OG0000723,orthogroup,6,6
OG0000724,orthogroup,6,6
OG0000725,orthogroup,6,6
OG0000726,orthogroup,6,6
OG0000727,orthogroup,6,6
OG0000728,orthogroup,6,6
OG0000729,orthogroup,6,6
OG0000730,orthogroup,6,6
OG0000731,orthogroup,6,6
OG0000732,orthogroup,6,6
OG0000733,orthogroup,6,6
OG0000734,orthogroup,6,5
OG0000735,orthogroup,6,6
OG0000736,orthogroup,6,6
OG0000737,orthogroup,6,6
OG0000738,orthogroup,6,6
OG0000739,orthogroup,6,6
OG0000740,orthogroup,6,6
OG0000741,orthogroup,6,6
OG0000742,orthogroup,6,6
OG0000743,orthogroup,6,6
OG0000744,orthogroup,6,6
OG0000745,orthogroup,6,6
OG0000746,orthogroup,6,6
OG0000747,orthogroup,6,6
OG0000748,orthogroup,6,6
OG0000749,orthogroup,6,6
OG0000750,orthogroup,6,6
OG0000751,orthogroup,6,6
OG0000752,orthogroup,6,6
OG0000753,orthogroup,6,6
OG0000754,orthogroup,6,6
OG0000755,orthogroup,6,6
OG0000756,orthogroup,6,6
OG0000757,orthogroup,6,6
OG0000758,orthogroup,6,6
OG0000759,orthogroup,6,6
OG0000760,orthogroup,6,6
OG0000761,orthogroup,6,6
OG0000762,orthogroup,6,6
OG0000763,orthogroup,6,6
OG0000764,orthogroup,6,6
OG0000765,orthogroup,6,6
OG0000766,orthogroup,6,6
OG0000767,orthogroup,6,6
OG0000768,orthogroup,6,6
OG0000769,orthogroup,6,6
OG0000770,orthogroup,6,6
OG0000771,orthogroup,6,6
OG0000772,orthogroup,6,6
OG0000773,orthogroup,6,6
OG0000774,orthogroup,6,6
OG0000775,orthogroup,6,6
OG0000776,orthogroup,6,6
OG0000777,orthogroup,6,6
OG0000778,orthogroup,6,6
OG0000779,orthogroup,6,6
OG0000780,orthogroup,6,6
OG0000781,orthogroup,6,6
OG0000782,orthogroup,6,6
OG0000783,orthogroup,6,6
OG0000784,orthogroup,6,6
OG0000785,orthogroup,6,6
OG0000786,orthogroup,6,6
OG0000787,orthogroup,6,6
OG0000788,orthogroup,6,6
OG0000789,orthogroup,6,6
OG0000790,orthogroup,6,6
OG0000791,orthogroup,6,6
OG0000792,orthogroup,6,6
OG0000793,orthogroup,6,6
OG0000794,orthogroup,6,6
OG0000795,orthogroup,6,6
OG0000796,orthogroup,6,6
OG0000797,orthogroup,6,6
OG0000798,orthogroup,6,6
OG0000799,orthogroup,6,6
OG0000800,orthogroup,6,6
OG0000801,orthogroup,6,6
OG0000802,orthogroup,6,6
OG0000803,orthogroup,6,6
OG0000804,orthogroup,6,6
OG0000805,orthogroup,6,6
OG0000806,orthogroup,6,6
OG0000807,orthogroup,6,6
OG0000808,orthogroup,6,6
OG0000809,orthogroup,6,6
OG0000810,orthogroup,6,6
OG0000811,orthogroup,6,6
OG0000812,orthogroup,6,6
OG0000813,orthogroup,6,6
OG0000814,orthogroup,6,6
OG0000815,orthogroup,6,6
OG0000816,orthogroup,6,6
OG0000817,orthogroup,6,6
OG0000818,orthogroup,6,6
OG0000819,orthogroup,6,6
OG0000820,orthogroup,6,6
OG0000821,orthogroup,6,6
OG0000822,orthogroup,6,6
OG0000823,orthogroup,6,6
OG0000824,orthogroup,6,6
OG0000825,orthogroup,6,6
OG0000826,orthogroup,6,6
OG0000827,orthogroup,6,6
OG0000828,orthogroup,6,6
OG0000829,orthogroup,6,6
OG0000830,orthogroup,6,6
OG0000831,orthogroup,6,6
OG0000832,orthogroup,6,6
OG0000833,orthogroup,6,6
OG0000834,orthogroup,6,6
OG0000835,orthogroup,6,6
OG0000836,orthogroup,6,6
OG0000837,orthogroup,6,6
OG0000838,orthogroup,6,6
OG0000839,orthogroup,6,6
OG0000840,orthogroup,6,6
OG0000841,orthogroup,6,6
OG0000842,orthogroup,6,6
OG0000843,orthogroup,6,6
OG0000844,orthogroup,6,6
OG0000845,orthogroup,6,6
OG0000846,orthogroup,6,6
OG0000847,orthogroup,6,6
OG0000848,orthogroup,6,6
OG0000849,orthogroup,6,6
OG0000850,orthogroup,6,6
OG0000851,orthogroup,6,6
OG0000852,orthogroup,6,6
OG0000853,orthogroup,6,6
OG0000854,orthogroup,6,6
OG0000855,orthogroup,6,6
OG0000856,orthogroup,6,6
OG0000857,orthogroup,6,6
OG0000858,orthogroup,6,6
OG0000859,orthogroup,6,6
OG0000860,orthogroup,6,6
OG0000861,orthogroup,6,6
OG0000862,orthogroup,6,6
OG0000863,orthogroup,6,6
OG0000864,orthogroup,6,6
OG0000865,orthogroup,6,6
OG0000866,orthogroup,6,6
OG0000867,orthogroup,6,6
OG0000868,orthogroup,6,6
OG0000869,orthogroup,6,6
OG0000870,orthogroup,6,6
